,Validation Predicted
297,487396.2970250323
298,489303.9865907529
299,2005083.2248579592
300,536797.8454010233
301,448810.6056865619
302,1116417.5900476342
303,408007.0997497445
304,952223.9879347337
305,944033.1968808866
306,1209701.4254749634
307,810267.2916399587
308,599695.3173724853
309,972625.7204946432
310,646890.3040649026
311,834544.2223546789
312,480785.6145334023
313,1586179.8434332942
314,1075140.7367120516
315,199189.3566932882
316,1643841.2299025015
317,801495.2063452263
318,1072149.6752295066
319,489303.9865907529
320,1382569.8653910162
321,944033.1968808866
322,340773.37020694395
323,453082.7938712586
324,520749.15975306486
325,339229.56989247305
326,123138.0244170649
327,369286.7536398603
328,351686.3003779411
329,1737672.390811394
330,1817145.618769025
331,365816.3979460659
332,161840.93888444584
333,559651.0951225383
334,1200137.1762189714
335,950680.3127527818
336,321418.78711259493
337,1697485.1012746934
338,366038.73694904504
339,147090.5274917286
340,350106.342977131
341,356173.35131973156
342,369286.7536398603
343,670717.4909530598
344,490856.3958786543
345,952223.9879347337
346,950680.3127527818
347,685016.0733600986
348,400549.82343572273
349,406466.36278805486
350,403573.4677378117
351,952223.9879347337
352,690376.4769549641
353,1213261.13614346
354,428565.2170925982
355,345703.7302442731
356,759857.4321601487
357,579334.4811260611
358,313935.0761685938
359,1720336.5863567453
360,109348.83985816849
361,1194280.4453211303
362,662157.7777777778
363,255586.55884379006
364,539540.9638588063
365,1326469.7434706707
366,1139011.1188325195
367,1358222.222222222
368,1039577.9879838851
369,528538.5357893906
370,479832.3538245605
371,482392.7903337055
372,1745546.2500913583
373,94165.99022134393
374,995654.7429749344
375,466509.7363316946
376,513894.3383528508
377,733973.4343345889
378,952223.9879347337
379,475025.9121937333
380,1269343.4600216646
381,485734.98249327036
382,1192108.1542364238
383,233452.34504116344
384,605616.700881761
385,393331.90566064673
386,1235637.7278538442
387,322489.1822879645
388,944033.1968808866
389,170479.6959225577
390,1724755.392266461
391,1896338.5079061068
392,284956.7825969533
393,489303.9865907529
394,922500.0864769785
395,336958.6614453869
396,1163463.2053145221
397,94757.73698308234
398,952223.9879347337
399,954822.5102484626
400,475117.1163757218
401,1722904.2422504874
402,672867.0694799606
403,395589.7355262769
404,1404991.6546462995
405,1355876.5413179204
406,586499.2920880474
407,142332.6818397073
408,557250.7044804712
409,1791059.0875052153
410,944033.1968808866
411,323335.8175796947
412,321631.27635705826
413,1204550.3429976522
414,577385.5063032144
415,888315.2755034241
416,607742.7270391419
417,1666656.7796332592
418,454852.6773458349
419,954822.5102484626
420,501976.1227136007
421,1441549.6992225228
422,477337.88294078066
423,122774.99747964785
424,393690.62553742883
425,489303.9865907529
426,409376.0289849851
427,630320.883991368
428,1581781.6858045375
429,826744.2737128495
430,952223.9879347337
431,131350.2790882277
432,955196.4784653181
433,1144002.0428758974
434,395517.06423146976
435,544930.2297729007
436,325838.36257013323
437,1440858.2046733173
438,460334.98692949093
439,482079.8295350548
440,120376.44900778183
441,91863.5635490824
442,143002.2040734433
443,650851.8984130663
444,536264.493170257
445,489303.9865907529
446,312578.790642831
447,1276676.237891118
448,348578.1773075358
449,574584.2513518378
450,466205.40960282006
451,321631.27635705826
452,227373.89246629179
453,469091.8429223057
454,1119869.0077166161
455,334773.88452333596
456,472177.77437757544
457,470571.4935753265
458,320534.15422929643
459,630709.4170713341
460,633184.0649762402
461,267580.7701856633
462,867700.7863181019
463,134986.3647722919
464,303662.75033651973
465,1181607.5719823164
466,108476.22205087937
467,988597.1291155322
468,401260.9159240486
469,1006886.1096178133
470,350529.88951247925
471,1841051.8491112373
472,320534.15422929643
473,949834.0807908193
474,954822.5102484626
475,2092411.5062445942
476,1897922.6092546931
477,1155445.0547676294
478,459651.617795237
479,122076.72432173487
480,1220904.2466721812
481,489303.9865907529
482,398609.9779766888
483,556007.2470111348
484,1217952.2560122877
485,914531.9635078514
486,676530.6486731737
487,488704.19047436066
488,277653.9455893105
489,933152.1078399792
490,954822.5102484626
491,1811385.5218255958
492,489303.9865907529
493,952223.9879347337
494,978403.8343397303
495,995614.3668087757
496,504190.5720751849
497,728757.6164257633
498,1762249.6756967893
499,489303.9865907529
500,944033.1968808866
501,318842.0788821798
502,313513.3771689495
503,1138111.2977099237
504,321631.27635705826
505,1941036.4520407962
506,453806.79098437296
507,473480.00143076514
508,150373.1814416106
509,381209.2373238518
510,1737360.3203953346
511,397121.2322164193
512,489303.9865907529
513,307875.66902753036
514,954822.5102484626
515,1492627.8861596615
516,94340.66521777464
517,1433101.1110327635
518,489303.9865907529
519,362571.1484268363
520,380764.43632578576
521,331197.6781990039
522,525841.0620366272
523,426241.01427909354
524,1271661.1201628856
525,979920.2667756064
526,345585.25764329394
527,319321.3044337194
528,1704852.99348912
529,579378.613734887
530,1239594.2917811999
531,325294.08048736694
532,327542.90379276965
533,190322.42279000822
534,451166.57197947375
535,360472.777659602
536,1370036.2828819803
537,1074854.3287769973
538,433839.66327688284
539,802016.1266859131
